Title,Date,Creator and role,Department,Medium text statement,IRN,Image Filename,colour0,colour1,colour2,colour3,colour4,CSS_colour0,CSS_colour1,CSS_colour2,CSS_colour3,CSS_colour4
Decorated slate:  (Bird),1989,"KARADADA, Lily Mindindil - ",Indigenous Australian Art,Natural earth pigments on slate,3994,1990.395_001.jpg,#a69b8c,#4f3c36,#f7f5f5,#664a3f,#9d846e,rosybrown,darkslategray,whitesmoke,darkolivegreen,gray
NSW and West Australian banksia,1929,"PRESTON, Margaret - ",Australian Art,Oil,15277,1-1248_001.jpg,#d4c19d,#443f2d,#a79771,#171e19,#74684c,tan,darkslategray,rosybrown,black,dimgray
"Hawkesbury Bridge, NSW",1946,"PRESTON, Margaret - ",Australian Art,Monotype,4139,2-0232B_001.jpg,#ab9270,#efe3d5,#3a2b1c,#776148,#d2bea3,rosybrown,antiquewhite,darkslategray,dimgray,tan
Rung timber,1946,"PRESTON, Margaret - ",Australian Art,Monotype,6293,2-0232F_002.jpg,#c9a978,#7a6240,#d2bea2,#a38457,#483b2c,darkkhaki,darkolivegreen,tan,peru,darkslategray
D'encres - W (Of inks - W),1988,"SONOYAMA, Harumi - ",Contemporary Asian Art,Photo-lithograph,775,1991.297_001.jpg,#191e20,#e3e8e6,#225381,#a09c9f,#725653,black,gainsboro,darkslateblue,darkgray,dimgray
"Nakamura Shikan as Shuka, Sawamura Tanosuke as Princess Wakana and Ichikawa Kobunji as the labourer Shitabe Tadashichi",1864,"KUNISADA II, Utagawa - ",Asian Art,Colour woodblock print,36126,2-0965.001_002.jpg,#9c9282,#475155,#5d7c6c,#d6ad91,#be6b5a,gray,darkslategray,dimgray,tan,indianred
Round house,2008-09,"KATA, Cathy - Designer; ORTEGA, Wendy - Maker",Pacific Art,Bilum: looped commercial fibres,15356,2011.190_001.jpg,#1c1217,#efefed,#907a64,#603427,#c1b6ac,black,whitesmoke,gray,saddlebrown,silver
Wandjina figure,1990,"KARADADA, Lily Mindindil - ",Indigenous Australian Art,Natural pigments with bush gum,6567,2008.264_001.jpg,#a1745b,#805540,#d2ac92,#bd9176,#5d3d35,indianred,sienna,tan,rosybrown,darkolivegreen
Kalaya Tjukurpa (Emu Dreaming),2013,"TUNKIN, Bradley - ",Indigenous Australian Art,Synthetic polymer paint,21211,2014.422_001.jpg,#af3430,#3c3332,#d0c9b7,#7e3832,#c88117,brown,darkslategray,silver,saddlebrown,darkgoldenrod
Mewana (Sedge grass basket),2007,"BAYPUNGALA, Judy - ",Indigenous Australian Art,"Twined sedge grass, pandanus palm leaf with natural dye and bark fibre string",13388,2007.138_001.jpg,#b38c5d,#c5c5c4,#5f421f,#afa393,#8a6c4a,peru,silver,darkolivegreen,darkgray,sienna
midden,1996,"DUMBRELL, Merrill - Weaver; WATSON, Judy - Designer; VICTORIAN TAPESTRY WORKSHOP,  - Workshop; STEBBING, Lisa - Principal weaver; HAMMOND, Owen - Weaver; WEST, Irja - Weaver",Indigenous Australian Art,Wool weft,9782,1997.031_001.jpg,#34415d,#fcfbfa,#7f8f9f,#9c6336,#6a481e,darkslategray,snow,lightslategray,sienna,saddlebrown
The jester,1923,"LINDSAY, Lionel - ",Australian Art,Wood engraving,3461,2-0673_001.jpg,#8a847f,#1d1919,#c9bdb1,#534d49,#0a0503,gray,black,silver,darkslategray,black
Paraltja lerop (red river gum leaf) (from 'Bush tucker' series),2009,"HERMANNSBURG POTTERS,  - Pottery workshop; RUBUNTJA, Rona - Potter",Indigenous Australian Art,"Earthenware, hand-built terracotta clay with underglaze colours and applied decoration",11941,2010.250.009a-b_001.jpg,#fcfdfd,#946240,#afa791,#4e4e30,#e0e2de,white,sienna,darkgray,darkolivegreen,gainsboro
"At Victoria Mill, North Queensland","1978, printed 1987","DUPAIN, Max - ",Contemporary Australian Art,Gelatin silver photograph,6681,1987.088_002.jpg,#a5a29f,#4e4d4d,#161616,#7c7a79,#cbc7c4,darkgray,darkslategray,black,gray,silver
"Mrs O’Neill with love from [illeg.]. Brisbane, Sept 1896",c.1896,"THE WILEY STUDIO (Brisbane),  - ",Australian Art,Albumen photograph,34830,2020.172_001.jpg,#98785e,#c6b599,#a99b89,#ccc0a8,#704730,gray,tan,rosybrown,silver,saddlebrown
Robert Wallace (Brisbane),c.1870,"WATSON, John - ",Australian Art,Albumen photograph,34834,2020.175_001.jpg,#ae957a,#d3c8b3,#8c7158,#5b4334,#cab79c,rosybrown,silver,dimgray,darkolivegreen,tan
Four-fold screen: Trading ship of the Dutch East India Company in Nagasaki Bay,late 19th century (Meiji period),"UNKNOWN,  - ",Asian Art,"Opaque watercolour, ink and pigments",36118,2021.006_001.jpg,#e3e2df,#9d8c74,#3e372c,#746553,#cd934e,gainsboro,gray,darkslategray,dimgray,peru
"Sydney Harbour, across Cremorne",c.1907,"STREETON, Arthur - ",Australian Art,Oil,4440,1-1125_002.jpg,#c79852,#fefdfa,#8a8889,#e2bb7b,#6e533b,peru,snow,gray,burlywood,darkolivegreen
Arlparra Country,2006,"NGAL, Angelina - ",Indigenous Australian Art,Synthetic polymer paint,5457,2008.127_001.jpg,#543b4b,#88737f,#5f4656,#4c3240,#6e5665,darkslategray,gray,dimgray,darkslategray,dimgray
"Ghost Gum study - Palm Valley (Alyape), NT",2020,"PAREROULTJA, Hubert - ",Indigenous Australian Art,Watercolour,35084,2020.423_001.jpg,#eba28c,#e1c5c5,#9e7986,#c39faf,#fbf4e2,darksalmon,thistle,gray,darkgray,oldlace
Panoramic view of Brisbane from River Terrace,1915,"VERE SCOTT, Robert - ",Australian Art,Gelatin silver photograph,21790,2015.027_001.jpg,#705b44,#d0af88,#bb9a71,#4b3e31,#9a7d5a,darkolivegreen,tan,darkkhaki,darkslategray,gray
Overland,1996,"GASCOIGNE, Rosalie - ",Contemporary Australian Art,"Painted, warped plywood panels",18918,2014.327a-oo_001.jpg,#cfcbcb,#5d4d3d,#7c7064,#2d231c,#a6a19f,lightgray,darkolivegreen,dimgray,black,darkgray
"Time series II:  Abigail (1965, 1974, 1980)",1981,"FORD, Sue - ",Contemporary Australian Art,Gelatin silver photograph,9391,1995.120a-c_003.jpg,#e6dfd4,#615c56,#948c86,#373330,#c1b8b1,gainsboro,dimgray,gray,darkslategray,silver
Samsara I,2003,"FOLEY, Fiona - ",Indigenous Australian Art,Aquatint,11241,2003.151_001.jpg,#c3b7a5,#d7d0be,#736a67,#a59689,#ded8c9,silver,lightgray,dimgray,rosybrown,lightgray
Samsara II,2003,"FOLEY, Fiona - ",Indigenous Australian Art,Aquatint,2132,2003.152_001.jpg,#436a6b,#dbd5c5,#1c4347,#6b8582,#141819,dimgray,lightgray,darkslategray,slategray,black
Samsara V,2003,"FOLEY, Fiona - ",Indigenous Australian Art,Aquatint,2133,2003.153_001.jpg,#d9d2c0,#736c6b,#67605e,#bfb2a3,#dfd9ca,lightgray,dimgray,dimgray,darkgray,lightgray
Samsara VI,2003,"FOLEY, Fiona - ",Indigenous Australian Art,Aquatint,9888,2003.154_001.jpg,#e0dacc,#1e1513,#8e736e,#dad4c2,#491d1e,lightgray,black,gray,lightgray,maroon
Sea of love #7,2007,"FOLEY, Fiona - ",Indigenous Australian Art,Giclée print using Ultrachrome ink on Ilford white film,7037,2009.053_001.jpg,#8d8782,#4c4039,#2b2826,#7b7164,#62564b,gray,darkslategray,darkslategray,dimgray,dimgray
The Oyster Fishermen #10,2011,"FOLEY, Fiona - ",Indigenous Australian Art,Inkjet print,18395,2012.408_001.jpg,#e7e5e4,#80624a,#0b2d5d,#b6967c,#3e3028,gainsboro,dimgray,midnightblue,rosybrown,darkslategray
The Oyster Fishermen #11,2011,"FOLEY, Fiona - ",Indigenous Australian Art,Inkjet print,18396,2012.409_001.jpg,#e5e3e2,#b79a84,#382f2c,#cdbcb1,#8d6e55,gainsboro,rosybrown,darkslategray,silver,dimgray
The Oyster Fishermen #13,2011,"FOLEY, Fiona - ",Indigenous Australian Art,Inkjet print,18397,2012.410_001.jpg,#9f826c,#e9e7e5,#674e3b,#1f273a,#c7b09e,gray,linen,darkolivegreen,darkslategray,tan
The Oyster Fishermen #15,2011,"FOLEY, Fiona - ",Indigenous Australian Art,Inkjet print,18398,2012.411_001.jpg,#6c523e,#e9e8e7,#c4ad9c,#392e29,#9a7b63,darkolivegreen,linen,tan,darkslategray,gray
Study for portrait of Albert Namatjira,c.1957-59,"DARGIE, William - ",Australian Art,Lithograph,35170,2020.214_001.jpg,#ece0c7,#93887b,#d3c8b5,#6c625a,#b4aa9a,bisque,gray,silver,dimgray,darkgray
Lady Trout,1960,"DARGIE, William - ",Australian Art,Oil,12264,1989.064_001.jpg,#7b9a96,#716c5c,#b78e72,#afbcb8,#323131,lightslategray,dimgray,rosybrown,silver,darkslategray
Basket (PNG/UPE),2018,"MARATA, Elizabeth Gawa - ",Pacific Art,Esma (cane),31733,2018.343_001.jpg,#86644e,#fefdfc,#b6937a,#513424,#e5dedd,dimgray,snow,rosybrown,darkolivegreen,gainsboro
Basket (fishing basket),2018,"MARATA, Elizabeth Gawa - ",Pacific Art,Esma (cane),31734,2018.344_001.jpg,#fefdfc,#593a23,#b99577,#8b684c,#e2d0c0,snow,darkolivegreen,rosybrown,sienna,lightgray
Basket (AROB),2018,"MARATA, Elizabeth Gawa - ",Pacific Art,Esma (cane),31735,2018.345_001.jpg,#fdfcfd,#876651,#553828,#d9c6b8,#b5937b,snow,dimgray,darkolivegreen,silver,rosybrown
Basket,2018,"MARATA, Elizabeth Gawa - ",Pacific Art,Esma (cane),31736,2018.346_001.jpg,#7e5d47,#fefefe,#4d3122,#d5bfac,#ac8b71,dimgray,white,darkolivegreen,silver,rosybrown
Basket (UPE),2018,"MARATA, Elizabeth Gawa - ",Pacific Art,Esma (cane),31737,2018.347_001.jpg,#eee9eb,#81634e,#b29680,#fefefe,#523727,linen,dimgray,rosybrown,white,darkolivegreen
Basket (AROB),2018,"MARATA, Elizabeth Gawa - ",Pacific Art,Esma (cane),31738,2018.348_001.jpg,#fefefe,#88664e,#b69479,#563826,#dfc7b0,white,dimgray,rosybrown,darkolivegreen,wheat
Basket (AROB),2018,"MARATA, Elizabeth Gawa - ",Pacific Art,Esma (cane),31739,2018.349_001.jpg,#fefefd,#7b5a44,#d5bba4,#4a2e1e,#a9876c,white,dimgray,tan,darkolivegreen,rosybrown
Still life with overtones,1977,"MACKINOLTY, Chips - Collaborating artist; ROBERTSON, Toni - Collaborating artist",Contemporary Australian Art,Screenprint,3176,1993.234_001.jpg,#f1ca81,#875333,#f0e4d2,#344924,#c6974f,burlywood,sienna,antiquewhite,darkslategray,peru
In the Arkarba Country,1947,"HEYSEN, Hans - ",Australian Art,Watercolour over pencil,7075,1-0816_001.jpg,#9e7a5d,#cec5b0,#c69c76,#6b564d,#8f979f,gray,silver,rosybrown,dimgray,lightslategray
"Burnside, on the Waterfall Road",1897,"HEYSEN, Hans - ",Australian Art,Watercolour with gouache over pencil,10644,1-0817_001.jpg,#d1c6b3,#6c553c,#ad9678,#4b3729,#8c7355,silver,darkolivegreen,rosybrown,darkslategray,dimgray
Copyright,1977-79,"TIPPING, Richard - ",Contemporary Australian Art,Blue pearl granite and gold leaf,10247,1994.295_001.jpg,#3b3e41,#eaebe3,#999384,#bdbcaf,#656662,darkslategray,beige,gray,silver,dimgray
Abstract garden,1957,"HIRSCHFELD-MACK, Ludwig - ",Australian Art,"Synthetic polymer paint, watercolour and wax resist",8521,1-1437_001.jpg,#b09a7d,#345b74,#6f4a2e,#8b7b61,#d5bb9c,rosybrown,darkslategray,saddlebrown,gray,tan
Stool or cushion cover,1880,"ANSELL, Mary E. - ",Australian Art,Canvas embroidered with roses in polychrome wool,528,4-0714_001.jpg,#21261d,#c7af90,#f1f0ea,#73654e,#5a1315,black,tan,linen,dimgray,maroon
Work camp,c.1945-49,"HIRSCHFELD-MACK, Ludwig - ",Australian Art,"Watercolour, kalsomine, opaque white and pencil",14236,1-1436_001.jpg,#b0a28f,#7a776b,#5f4637,#c8c7b8,#c8b16d,rosybrown,dimgray,darkolivegreen,silver,darkkhaki
Restless morning,1959,"HIRSCHFELD-MACK, Ludwig - ",Australian Art,Synthetic polymer paint and poster paint,3920,1-1438_001.jpg,#69604e,#a18d79,#3d291a,#bbb0a3,#ad9e35,dimgray,rosybrown,darkslategray,darkgray,peru
Head study,c.1940-64,"HIRSCHFELD-MACK, Ludwig - ",Australian Art,Watercolour and gouache,14266,1-1439_001.jpg,#1e3164,#7b6b79,#be7755,#d29e7d,#5b3c3c,midnightblue,gray,peru,darksalmon,darkolivegreen
Bloodlight stack no. 8,2001-02,"BORGELT, Marion - ",Contemporary Australian Art,"Handmade paper, synthetic polymer paint, pigment, perspex, wood, screws",11528,2005.140_001.jpg,,,,,,,,,,
Two faces,1957,"HIRSCHFELD-MACK, Ludwig - ",Australian Art,Wax crayons and wash,444,2-0952_001.jpg,#ab9c7c,#523c32,#d5c6b6,#1d1717,#7a6959,rosybrown,darkolivegreen,silver,black,dimgray
Wall Hanging: Monument to the West I,1981,"DYER, Tony - ",Contemporary Australian Art,"Batik collage on pure silk ground, procion and napthol dyes",6902,4-0591_001.jpg,#3b3c3e,#9d938d,#b2ada4,#a27361,#7b7678,darkslategray,rosybrown,darkgray,gray,gray
Kalajangu - Rainbow Dreaming came through Marnbaliya Country,2003,"McDINNY, Dinny - ",Indigenous Australian Art,Synthetic polymer paint,4875,2004.042_001.jpg,#556163,#d6dce1,#2c2f32,#89929f,#8f4023,dimgray,gainsboro,darkslategray,lightslategray,saddlebrown
Bernard Shaw,1934,"EPSTEIN, Jacob - ",International Art,"Bronze, marble base",1469,1-0657_001.jpg,#727f6d,#d8d4d0,#374b3f,#adada1,#eae7e6,gray,lightgray,darkslategray,darkgray,linen
The Visitation,"1926, cast 1958","EPSTEIN, Jacob - ",International Art,Bronze,5381,QAG_SculptureCourtyard_installationview_20181114_nharth_016.jpg,#606149,#141a06,#c5c1a7,#8d8c73,#3b4020,darkolivegreen,black,silver,gray,darkslategray
(Sketch for sculpture),1954,"EPSTEIN, Jacob - ",International Art,Watercolour over pencil,5633,1-1787_001.jpg,#bebaa8,#4f483c,#a29d8e,#dbd6c6,#88785e,silver,darkolivegreen,rosybrown,lightgray,gray
"Ma‘o (Gossypium tomentosum) (Hawaiian cotton) (from ‘Nā Waiho‘olu‘u Hawai‘i, The colors of Hawai‘i‘ series)",2006,"AKAMINE, Bernice - ",Pacific Art,Cotton with cotton thread,34018,2019.162_001.jpg,#e5c7a7,#c09d7a,#a38462,#cfa987,#efe3d6,wheat,rosybrown,gray,tan,antiquewhite
"‘Iliahi (Santalum ellipticum) (Sandalwood) (from ‘Nā Waiho‘olu‘u Hawai‘i, The colors of Hawai‘i‘ series)","2006, reworked 2019","AKAMINE, Bernice - ",Pacific Art,Cotton with cotton thread,34019,2019.163_001.jpg,#d1c5ba,#c2a082,#b99779,#e4d7cc,#a48566,silver,rosybrown,rosybrown,gainsboro,gray
"‘Uki‘uki (Dianella sandwicensis) (Hawaiian lily) (from ‘Nā Waiho‘olu‘u Hawai‘i, The colors of Hawai‘i‘ series)",2006,"AKAMINE, Bernice - ",Pacific Art,Cotton with cotton thread,34020,2019.164_001.jpg,#c49c7a,#d3b39d,#e7dacf,#9b7854,#bc9572,rosybrown,tan,gainsboro,gray,rosybrown
"Noni (Morinda citrifolia) (Indian mulberry) (from ‘Nā Waiho‘olu‘u Hawai‘i, The colors of Hawai‘i‘ series)",2005,"AKAMINE, Bernice - ",Pacific Art,Cotton with cotton thread,34021,2019.165_001.jpg,#a88d6e,#dfd2c7,#735f3e,#b78a60,#a27f58,rosybrown,lightgray,darkolivegreen,peru,peru
"Hau (Hibiscus tiliaceus) (Sea hibiscus) (from ‘Nā Waiho‘olu‘u Hawai‘i, The colors of Hawai‘i‘ series)",2006,"AKAMINE, Bernice - ",Pacific Art,Cotton with cotton thread,34022,2019.166_001.jpg,#c2a587,#e5caac,#b49575,#f5e9d9,#8f704b,tan,wheat,rosybrown,antiquewhite,sienna
"‘Ōlena (Curcuma longa) (Turmeric) (from ‘Nā Waiho‘olu‘u Hawai‘i, The colors of Hawai‘i‘ series)","2005, reworked 2019","AKAMINE, Bernice - ",Pacific Art,Cotton with cotton thread,34023,2019.167_001.jpg,#c7ad90,#6d5936,#e1d4ca,#967c58,#bc9973,tan,darkolivegreen,lightgray,gray,rosybrown
"Kalo (Colocasia esculenta) (Taro) (from ‘Nā Waiho‘olu‘u Hawai‘i, The colors of Hawai‘i‘ series)","2006, reworked 2019","AKAMINE, Bernice - ",Pacific Art,Cotton with cotton thread,34024,2019.168_001.jpg,#b89a7a,#ccb095,#eacbaa,#f2e9dd,#9a7b62,rosybrown,tan,wheat,antiquewhite,gray
Number three,2004,"BENNETT, Gordon - ",Contemporary Australian Art,Synthetic polymer paint,34161,Number Three 2004 152 x 365cm (double panel) Acrylic on linen.png,#726c71,#100c10,#d6d3d7,#41393e,#a4a2a7,dimgray,black,lightgray,darkslategray,darkgray
Meugu (Timber Yam),2020,"DE JERSEY, Daphne - ",Indigenous Australian Art,Screenprint,35629,2020.445_001.jpg,#f4efe2,#3a3835,#75716b,#ede7d9,#b4b0a7,linen,darkslategray,dimgray,antiquewhite,darkgray
Santhal Story of Origin,2015,"CHITRAKAR, Sonia - ",Contemporary Asian Art,Natural colour,22082,2016.015_001.jpg,#c09f7e,#4e3c1e,#ebdfdb,#a06635,#636f5f,rosybrown,darkolivegreen,gainsboro,sienna,dimgray
Wedding of the birds,2015,"CHITRAKAR, Sonia - ",Contemporary Asian Art,Natural colour,22083,2016.016_001.jpg,#5d3c26,#e2e1db,#c3462c,#b38658,#5b7171,darkolivegreen,gainsboro,sienna,peru,dimgray
Tsunami,2012,"CHITRAKAR, Sonia - ",Contemporary Asian Art,Natural colour,22084,2016.017_001.jpg,#e9e3e0,#2f271a,#cf803e,#685637,#808f97,gainsboro,black,peru,darkolivegreen,lightslategray
Design for 'Sun tapestry',1976,"COBURN, John - ",Contemporary Australian Art,Pencil and gouache,7077,1-1632A_001.jpg,#2b3320,#ccbfae,#ce8010,#bc2a12,#6e241f,darkslategray,silver,darkgoldenrod,firebrick,saddlebrown
Burning bush 1,1962,"COBURN, John - ",Australian Art,Synthetic polymer paint,8390,1-0907_001.jpg,#281b1a,#a3510a,#997e65,#783b29,#452a26,black,saddlebrown,gray,saddlebrown,darkslategray
Visible/invisible,2003,"KHALID, Aisha - ",Contemporary Asian Art,Gouache,5952,2004.121_001.jpg,#cd1f32,#e9e0d8,#233542,#7ca0ad,#9a443a,crimson,gainsboro,darkslategray,lightslategray,sienna
Oasis,1970,"COBURN, John - ",Australian Art,Screenprint,13767,2-0691_001.jpg,#f6ac17,#3a2820,#e0d2c8,#243ea2,#d93629,orange,darkslategray,lightgray,darkslateblue,crimson
Fiesta,1970,"COBURN, John - ",Australian Art,Screenprint,13789,2-0692_001.jpg,#a5305d,#dfd5cc,#2e2927,#d13624,#5b3a27,brown,lightgray,darkslategray,firebrick,darkolivegreen
"Curtain of the sun, Sydney Opera House",1973,"COBURN, John - ",Australian Art,Screenprint,13919,2-0781_001.jpg,#e3ded9,#432d29,#b95a80,#c0261f,#ec9a12,gainsboro,darkslategray,indianred,firebrick,goldenrod
"Curtain of the moon, Sydney Opera House",1973,"COBURN, John - ",Australian Art,Screenprint,13896,2-0782_001.jpg,#256bb5,#e1ded9,#402e2a,#8da776,#32997e,steelblue,gainsboro,darkslategray,darkseagreen,mediumseagreen
Yarwarr,2007,"NONA, Dennis - Artist; TREMBLAY, Theodore - Printer",Indigenous Australian Art,Linocut,4636,2008.112_001.jpg,,,,,,,,,,
